director,stars,country,url,Release Year,Released,plot
Rowdy Herrington,"Bruce Willis, Sarah Jessica Parker, Dennis Farina",United States,https://en.wikipedia.org/wiki/Striking_Distance,1993,9/17/1993,"Coming from a police family, Tom Hardy ends up fighting his uncle after the murder of his father. Tom believes the killer is another cop and goes on the record with his allegations. Demoted then to river duty, the killer taunts Tom."
Neal Israel,"Ernie Reyes Jr., Rob Schneider, Nicolas Cowan",United States,https://en.wikipedia.org/wiki/Surf_Ninjas,1993,8/20/1993,Two boys learn from a mysterious warrior that they are the heirs to the throne of Patusan and set out to overthrow the current monarchy.
Stuart Gillard,"Paige Turco, Stuart Wilson, Vivian Wu",United States,https://en.wikipedia.org/wiki/Teenage_Mutant_Ninja_Turtles_III,1993,3/19/1993,The turtles find themselves transported back in time to ancient Japan.
"Ronny Yu, David Wu","Sunny Chan, Leslie Cheung, Christy Chung",Hong Kong,https://en.wikipedia.org/wiki/The_Bride_with_White_Hair_2,1993,12/22/1993,"On Kit and Lyre's wedding night, Lien Ni-Chang, the bride with white hair kidnaps Lyre and takes her to her harem of fighting women to indoctrinate her against Kit. Kit tries to lead a rescue party and go up against the formidable enemies."
Stephen Hopkins,"Jeff Bridges, Tommy Lee Jones, Lloyd Bridges",United States,https://en.wikipedia.org/wiki/Blown_Away_(1994_film),1994,NULL,An Irish bomber escapes from prison and targets a member of the Boston bomb squad.
Luc Besson,"Jean Reno, Gary Oldman, Natalie Portman",France,https://en.wikipedia.org/wiki/L%C3%A9on:_The_Professional,1994,9/14/1994,"Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade."
Ricardo Osorio,"Robin Padilla, Rustom Padilla, Rommel Padilla",Philippines,https://en.wikipedia.org/wiki/Mistah_(film),1994,1/2/1994,"Witness the soldiers who risk their lives for the protection of the people. Giving up their personal happiness to respond to the call of duty, the dedicated servicemen encounter tremendous ... See full summary »"
Steven Seagal,"Steven Seagal, Michael Caine, Joan Chen",United States,https://en.wikipedia.org/wiki/On_Deadly_Ground,1994,2/18/1994,A mystical martial artist/environmental Agent takes on a ruthless oil corporation.
Jan de Bont,"Keanu Reeves, Dennis Hopper, Sandra Bullock",United States,https://en.wikipedia.org/wiki/Speed_(1994_film),1994,6/10/1994,A young police officer must prevent a bomb exploding aboard a city bus by keeping its speed above 50 mph.
Gisaburo Sugii,NULL,JapanUnited States,https://en.wikipedia.org/wiki/Street_Fighter_II:_The_Animated_Movie,1994,8/6/1994,"Bison, the ruthless leader of the international terrorist organization Shadowlaw, has been desperately searching for the greatest fighter on the planet for years. He finds it in Ryu, a ... See full summary »"
Deran Sarafian,"Charlie Sheen, Nastassja Kinski, James Gandolfini",United States,https://en.wikipedia.org/wiki/Terminal_Velocity_(film),1994,9/23/1994,A maverick skydiver and a former KGB agent team up to stop the Russian mafia from stealing gold.
Alex Proyas,"Brandon Lee, Ernie Hudson, Michael Wincott",United States,https://en.wikipedia.org/wiki/The_Crow_(1994_film),1994,5/13/1994,A man brutally murdered comes back to life as an undead avenger of his and his fiancée's murder.
Curtis Hanson,"Meryl Streep, Kevin Bacon, David Strathairn",United States,https://en.wikipedia.org/wiki/The_River_Wild,1994,9/30/1994,Rafting expert Gail takes on a pair of armed killers while navigating a spectacularly violent river.
Russell Mulcahy,"Alec Baldwin, John Lone, Penelope Ann Miller",United States,https://en.wikipedia.org/wiki/The_Shadow_(1994_film),1994,7/1/1994,"In 1930s New York City, The Shadow (Alec Baldwin) battles his nemesis, Shiwan Khan (John Lone), who is building an atomic bomb."
Luis Llosa,"Sylvester Stallone, Sharon Stone, James Woods",United States,https://en.wikipedia.org/wiki/The_Specialist,1994,10/7/1994,A woman entices a bomb expert she's involved with into destroying the mafia that killed her family.
Peter Hyams,"Jean-Claude Van Damme, Mia Sara, Ron Silver",United States,https://en.wikipedia.org/wiki/Timecop,1994,9/16/1994,"Max Walker, an officer for a security agency that regulates time travel, must fend for his life against a shady politician who's intent on changing the past to control the future."
Michael Bay,"Will Smith, Martin Lawrence, Téa Leoni",United States,https://en.wikipedia.org/wiki/Bad_Boys_(1995_film),1995,4/7/1995,Two hip detectives protect a witness to a murder while investigating a case of stolen heroin from the evidence storage room from their police precinct.
Danny Cannon,"Sylvester Stallone, Armand Assante, Diane Lane",United States,https://en.wikipedia.org/wiki/Judge_Dredd_(film),1995,6/30/1995,"In a dystopian future, Joseph Dredd, the most famous Judge (a police officer with instant field judiciary powers), is convicted for a crime he did not commit and must face his murderous counterpart."
Corey Yuen,"Jet Li, Anita Mui, Tsue Miu",Hong Kong,https://en.wikipedia.org/wiki/My_Father_Is_a_Hero,1995,3/2/1995,Add a Plot »
Tsui Hark,"Vincent Zhao, Moses Chan, Xiong Xinxin",Hong Kong,https://en.wikipedia.org/wiki/The_Blade_(film),1995,12/21/1995,"After the master of the Sharp Manufacturer saber factory abdicates and appoints On, his least popular worker, as his successor, On, unwilling to lead his surly colleagues, embarks on a ... See full summary »"
J.F. Lawton,"Christopher Lambert, John Lone, Joan Chen",United States,https://en.wikipedia.org/wiki/The_Hunted_(1995_film),1995,2/24/1995,An FBI deep-woods tracker attempts to capture a trained assassin who has made a sport of hunting humans.
Geoff Murphy,"Steven Seagal, Eric Bogosian, Katherine Heigl",United States,https://en.wikipedia.org/wiki/Under_Siege_2:_Dark_Territory,1995,7/14/1995,"Casey Ryback hops on a Colorado to LA train to start a vacation with his niece. Early into the trip, terrorists board the train and use it as a mobile HQ to hijack a top secret destructive US satellite."
John Woo,"John Travolta, Christian Slater, Samantha Mathis",United States,https://en.wikipedia.org/wiki/Broken_Arrow_(1996_film),1996,2/9/1996,Terrorists steal nuclear warheads from the U.S. military but don't count on a pilot and park ranger spoiling their plans.
Kevin Hooks,"Laurence Fishburne, Stephen Baldwin, Salma Hayek",United States,https://en.wikipedia.org/wiki/Fled,1996,7/19/1996,Two prisoners chained together flee during an escape attempt gone bad.
"Kok Tak-Chiu, Stephen Chow","Stephen Chow, Carina Lau, Carman Lee",Hong Kong,https://en.wikipedia.org/wiki/Forbidden_City_Cop,1996,2/16/1996,A wild and hilariously anachronistic tale of an imperial guard of the Forbidden City who has no martial arts abilities but a talent for making futuristic machines and must save the kidnapped emperor.
Rick Jacobson,"Don Wilson, Maria Ford",United States,https://en.wikipedia.org/wiki/Night_Hunter_(1996_film),1996,NULL,"A weathered Lieutenant, his police force, and a local vigilante are all caught up in a dangerous scheme involving a recently arrested, troubled man who's linked to years of female abductions and murders."
F. Gary Gray,"Jada Pinkett Smith, Queen Latifah, Vivica A. Fox",United States,https://en.wikipedia.org/wiki/Set_It_Off_(film),1996,11/6/1996,"Desperation drives four inner-city women to bank robbery in Los Angeles, then they start mistrusting each other."
Russell Mulcahy,"Dolph Lundgren, Gina Bellman, Conrad Dunn",United States,https://en.wikipedia.org/wiki/Silent_Trigger,1996,NULL,"Waxman is a former Special Forces soldier who is now working as a heavily armed assassin for a top secret government agency. When a covert mission goes terribly wrong, Waxman and fellow assassin Clegg become that agency's prime targets."
Andrew Lau,"Jordan Chan, Cheng Yee-kin, Roy Cheung",Hong Kong,https://en.wikipedia.org/wiki/Young_and_Dangerous_3,1996,6/29/1996,"Chan Ho Nam and Chicken are back again in Young and Dangerous 3, this time taking on the rival ""Tung Sing"" triad."
Dennis Dugan,"Chris Farley, Nicollette Sheridan, Robin Shou",United States,https://en.wikipedia.org/wiki/Beverly_Hills_Ninja,1997,1/17/1997,A man tries to rescue a woman with a little help from his half brother.
Tony Leung Siu Hung ,"Gary Daniels, Chuck Jeffreys, Darren Shahlavi ",United States ,https://en.wikipedia.org/wiki/Bloodmoon_(1997_film),1997,NULL,"A serial killer is loose at an all girl school, where he strangles girls with a piece of barbed wire."
Craig Lahiff,"Russell Crowe, Youki Kudoh, Kenji Isomura",Australia,https://en.wikipedia.org/wiki/Heaven%27s_Burning,1997,11/6/1997,"After a botched bank job, a gang takes hostage a Japanese girl on the run from an arranged marriage, and escapes. Their wheel man saves the girl from them and the two go on the run with cops, the gang and her psycho husband on their tail."
Barry Sonnenfeld,"Tommy Lee Jones, Will Smith, Vincent D'Onofrio",United States,https://en.wikipedia.org/wiki/Men_in_Black_(1997_film),1997,7/2/1997,A police officer joins a secret organization that polices and monitors extraterrestrial interactions on Earth.
David Hogan,"Keenen Ivory Wayans, Jon Voight",United States,https://en.wikipedia.org/wiki/Most_Wanted_(1997_film),1997,10/10/1997,"In 1989, a Canadian journalist investigates the circumstances surrounding the suspicious arrest of a heroin addict imprisoned in a Thai jail."
Sammo Hung,"Jet Li, Rosamund Kwan, Xiong Xin Xin",Hong Kong,https://en.wikipedia.org/wiki/Once_Upon_a_Time_in_China_and_America,1997,2/1/1997,"Following an ambush in his visit to America, Wong Fei-hung becomes separated from his fellow travelers and suffers memory loss."
Phillip Rhee ,"Phillip Rhee, Ernie Hudson ",United States ,https://en.wikipedia.org/wiki/Best_of_the_Best_4:_Without_Warning,1998,10/20/1998,"When a girl fleeing Russian mobsters plants a stolen computer disk on Tommy Lee, the martial arts expert finds himself unwittingly thrust into his most harrowing adventure ever."
Kevin Hooks,"Patrick Swayze, Meat Loaf, Randy Travis",United States,https://en.wikipedia.org/wiki/Black_Dog_(film),1998,5/1/1998,"A weapons loaded truck is shadowed by FBI and ATF. It explodes and kills the driver. Jack, just out of prison, is pressured into driving another truck from Atlanta to NJ. Things get rough when hijacking attempts are made."
Mikael Salomon,"Christian Slater, Morgan Freeman, Minnie Driver",United States,https://en.wikipedia.org/wiki/Hard_Rain_(film),1998,1/16/1998,The nephew of an armored-truck driver tries to prevent three million dollars from being taken by a local rival gang during a catastrophic flooding caused by a severe storm.
Stephen Tung Wei,"Jet Li, Eric Tsang, Simon Yam",Hong Kong,https://en.wikipedia.org/wiki/Hitman_(1998_film),1998,4/3/1998,"A gun-for-hire known only as Agent 47 hired by a group known only as 'The Organization' is ensnared in a political conspiracy, which finds him pursued by both Interpol and the Russian military as he treks across Russia and Eastern Europe."
Jake West,"Eileen Daly, Christopher Adamson, Heidi James",United Kingdom,https://en.wikipedia.org/wiki/Razor_Blade_Smile,1998,9/19/1998,"A 19th century woman, who has become one of the undead, acts as a hired killer in modern times. When she starts knocking off part of the elite businessmen, ""The Illuminati"", who secretly ... See full summary »"
Paul W.S. Anderson,"Kurt Russell, Jason Isaacs, Gary Busey",United States,https://en.wikipedia.org/wiki/Soldier_(1998_American_film),1998,10/23/1998,"A soldier trained from birth is deemed obsolete and dumped on a waste planet where he is reluctantly taken in by a community of defenseless, stranded wayfarers."
Steve Pearl,"Treat Williams, B.D. Wong, Lawrence Gilliard, Jr.",United States,https://en.wikipedia.org/wiki/The_Substitute_2:_School%27s_Out,1998,8/1/1998,"Professional mercenary Karl Thomasson arrives in Brooklyn to attend the funeral of his brother Randall, who was murdered while trying to stop a carjacking that has been blamed on the ""... See full summary »"
Hugh Johnson,"Cuba Gooding Jr., Skeet Ulrich, Peter Firth",United States,https://en.wikipedia.org/wiki/Chill_Factor_(film),1999,9/1/1999,"A new biological chemical weapon that explodes up to temperatures over fifty degrees Fahrenheit, falls into the hands of two men who try to make sure that it doesn't get stolen by a terrorist."
Peter Hyams,"Arnold Schwarzenegger, Gabriel Byrne, Robin Tunney",United States,https://en.wikipedia.org/wiki/End_of_Days_(film),1999,USA,"At the end of the century, Satan visits New York in search of a bride. It's up to an ex-cop who now runs an elite security outfit to stop him."
Kinka Usher,"Ben Stiller, Hank Azaria, William H. Macy",United States,https://en.wikipedia.org/wiki/Mystery_Men_(film),1999,8/6/1999,A group of inept amateur superheroes must try to save the day when a supervillain threatens to destroy a major superhero and the city.
Mark L. Lester ,"Mark Dacascos, Paula Trickey ",United States ,https://en.wikipedia.org/wiki/The_Base_(film),1999,6/1/1999,"In a U.S. army base, a senior army officer leads a group of young men into drug trafficking."
Scott Silver,"Claire Danes, Giovanni Ribisi, Omar Epps",United States,https://en.wikipedia.org/wiki/The_Mod_Squad_(film),1999,3/26/1999,"Three problem teens sent to jail are offered a deal to work with an undercover cop, uncover an intricate drug ring and are caught in a deadly set-up. With cops on their trail, they have little time to solve the case and clear their names."
Mic Rodgers,"Jean-Claude Van Damme, Michael Jai White, Heidi Schanz",United States,https://en.wikipedia.org/wiki/Universal_Soldier:_The_Return,1999,8/20/1999,"The ""universal soldiers"" must fight the whole army, when the military's supercomputer S.E.T.H gets out of control."
Chris Roberts,"Saffron Burrows, Freddie Prinze Jr., Matthew Lillard",United StatesLuxembourg,https://en.wikipedia.org/wiki/Wing_Commander_(film),1999,3/12/1999,"Blair, a fighter pilot, joins an interstellar war to fight the evil Kilrathi who are trying to destroy the universe."
Cedric Sundstrom,"Michael Dudikoff, David Bradley, James Booth",United States,https://en.wikipedia.org/wiki/American_Ninja_4:_The_Annihilation,1991,3/8/1991,"CIA agent Sean Davidson and his sidekick Carl are sent into the stronghold of sadistic British ex-soldier Mulgrew to rescue some Delta Force commandoes who have been captured and tortured. When Sean, Carl and pretty doctor Sarah run into some problems, Peace Corps vet Joe Armstrong is lured out of retirement to stop Mulgrew's plan to explode a nuclear device in New York City. Written by Marty McKee <mmckee@soltec.net>"
John Badham,"Mel Gibson, Goldie Hawn, David Carradine",United States,https://en.wikipedia.org/wiki/Bird_on_a_Wire_(film),1990,5/18/1990,An old flame discovers her ex-boyfriend from the past is a relocated FBI informant out to stop the bad guys.
Andy Blumenthal,"Don ""The Dragon"" Wilson, Rina Reyes, Joe Mari Avellana",United States,https://en.wikipedia.org/wiki/Bloodfist_II,1990,10/12/1990,"Kickboxing champion Jake Raye thought his fighting days were over, until a call from an old friend draws him to the Far East and into the hands of a madman. This time Jake's fighting for his life! Written by Concorde - New Horizons (with permission)."
Robert Clouse ,"Cynthia Rothrock, Richard Norton, Keith Cooke ",United States ,https://en.wikipedia.org/wiki/China_O%27Brien_II,1989,1991,"This time China O'Brien has trouble with a dealer who puts a prize on her head because she had spoiled an important drug deal of his. But all the world's criminals will not be enough to catch up with China, one of the masters of the martial arts. Written by Volker Boehm"
Deran Sarafian,"Jean-Claude Van Damme, Robert Guillaume, Cynthia Gibb",CanadaUnited States,https://en.wikipedia.org/wiki/Death_Warrant_(film),1990,9/14/1990,"The Canadian policeman Louis Burke is assigned in a jail to investigate some murders of prisoners and jailors. When in jail, Lois, using his outstandings martial arts, is able to save his life and make himself respected in that violent world. At last, helped by two another prisoners, he succeeds in finding the truth about the dreadful crimes. Written by Tognacci Sebastiano <seblog@maya.dei.unipd.it>"
Renny Harlin,"Bruce Willis, Bonnie Bedelia, William Atherton",United States,https://en.wikipedia.org/wiki/Die_Hard_2,1990,7/4/1990,"John McClane attempts to avert disaster as rogue military operatives seize control of Dulles International Airport in Washington, D.C."
Luc Besson,"Anne Parillaud, Jean-Hugues Anglade, Tcheky Karyo",FranceItaly,https://en.wikipedia.org/wiki/La_Femme_Nikita_(film),1990,2/21/1990,"Convicted felon Nikita, instead of going to jail, is given a new identity and trained, stylishly, as a top secret spy/assassin. EN"
Kevin Chu,"Jackie Chan, Sammo Hung, Tony Leung Kar-Fai",Hong Kong,https://en.wikipedia.org/wiki/Island_of_Fire,1990,3/28/1990,Add a Plot »
Lucas Lowe ,"Loren Avedon, Billy Blanks, Keith Cooke ",United StatesHong Kong ,https://en.wikipedia.org/wiki/The_King_of_the_Kickboxers,1990,1990,"Kahn is a heavy weight kick-box champion, who often kills his opponents in front of the running camera, to sell it on video tape. Jake had to witness once how his brother was killed by him, and now has come for revenge. But first he has to improve his fighting skills; he asks Phang, the only person in the whole world who ever had Khan down on his back, to train him until he is a match for him. Written by Tom Zoerner <Tom.Zoerner@informatik.uni-erlangen.de>"
S.E. Cohen,"Cynthia Rothrock, David Carradine, Richard Brandes",United States,https://en.wikipedia.org/wiki/Martial_Law_(1991_film),1991,5/16/1991,A Shanghai cop who is a master of martial arts fights crime in the Los Angeles Police Department. EN
Lewis Teague,"Charlie Sheen, Michael Biehn, Joanne Whalley",United States,https://en.wikipedia.org/wiki/Navy_SEALs_(film),1990,7/20/1990,A battle-hardened SEAL Team sets off on a mission to destroy a shipment of US-built Stinger missiles that have fallen into terrorist hands. EN
Frankie Chan ,"Frankie Chan, Siu Chung Mok, Kiu Wai Miu ",Hong Kong ,https://en.wikipedia.org/wiki/Outlaw_Brothers,1990,3/17/1990,"Follows the exploits of two car thieves, and the female police officer who is on their trail."
Stephen Hopkins,"Danny Glover, Gary Busey, Ruben Blades",United States,https://en.wikipedia.org/wiki/Predator_2,1990,11/21/1990,"The Predator returns to Earth, this time to stake a claim on the war-torn streets of a dystopian Los Angeles. EN"
Corey Yuen ,"Joyce Godenzi, Carina Lau, Sammo Hung ",Hong Kong ,https://en.wikipedia.org/wiki/She_Shoots_Straight,1990,1990,Stright after her marriage Hong Kong officer Mina Kao faces dangerous case of vietnamese criminal refugees.
John McTiernan,"Sean Connery, Alec Baldwin",United States,https://en.wikipedia.org/wiki/The_Hunt_for_Red_October_(film),1990,3/2/1990,"In November 1984, the Soviet Union's best submarine Captain in their newest sub violates orders and heads for the U.S. Is he trying to defect or to start a war? EN"
Yuen Woo-ping ,"Donnie Yen, David Wu, Robin Shou ",Hong Kong ,https://en.wikipedia.org/wiki/Tiger_Cage_2,1990,8/11/1990,"A tough-as-nails ex-cop, Alan, and a lawyer, Mary, accused of murder, team up with a unscrupulous lawyer, David, as they intend to solve the case of laundering dirty money. It turns out that David was involved, but was betrayed by his cohort Wilson. Now Alan, Mary, and David must fight Wilson and his henchmen. Written by Albert Valentin"
Clint Eastwood,"Clint Eastwood, Jeff Fahey, George Dzundza",United States,"https://en.wikipedia.org/wiki/White_Hunter,_Black_Heart",1990,9/14/1990,"A thinly fictionalized account of a legendary movie director, whose desire to hunt down an animal turns into a grim situation with his movie crew in Africa."
Jackie Chan,"Jackie Chan, Carol Cheng, Eva Cobo",Hong Kong,https://en.wikipedia.org/wiki/Armour_of_God_II:_Operation_Condor,1991,2/7/1991,"Jackie is hired to help the UN find Nazi gold hidden in Sahara. He's accompanied from Spain by 2 (later 3) cute women. As there are others wanting the gold, lots of kung fu fighting and comedy follows."
Andy Sidaris,"Erik Estrada, Dona Speir, Roberta Vasquez",United States,https://en.wikipedia.org/wiki/Do_or_Die_(1991_film),1991,NULL,"Hunted down by six teams of assassins hired by a Japanese crime lord, Federal agents Donna and Nicole struggle to survive, with help from their agency friends. EN"
Richard Franklin,"Bryan Brown, Brian Dennehy, Rachel Ticotin",United States,https://en.wikipedia.org/wiki/F/X2,1991,5/10/1991,"F/X man Rollie Tyler (Bryan Brown) is now a toy maker. Mike Brandon (Tom Mason), the ex-husband of Rolly's girlfriend Kim(Rachel Ticotin), is a cop. He asks Rollie to help catch a killer. The operation goes well until some unknown man kills both the killer and Mike.Mike's boss, Ray Silak (Philip Bosco) says it was the killer who killed Mike but Rollie knows it wasn't. Silak is involved with Mike's death, so he calls on Leo McCarthy (Brian Dennehy), the cop from the last movie, who is now a P.I., for help and they discover it's not just Silak they have to worry about. Written by <rcs0411@yahoo.com>"
Michael Lehmann,"Bruce Willis, Danny Aiello, Andie MacDowell",United States,https://en.wikipedia.org/wiki/Hudson_Hawk,1991,5/24/1991,A cat burglar is forced to steal Da Vinci works of art for a world domination plot. EN
Kurt Anderson,"Jeff Wincott, Billy Drago, Cynthia Rothrock",United States,https://en.wikipedia.org/wiki/Martial_Law_2:_Undercover,1991,1991-10,"Sean and Billie are undercover cops and martial arts masters. Investigating the death of a cop, they uncover a deadly ring of murder and corruption at a glitzy nightclub where the rich are entertained by seductive women and protected by martial arts experts. Billie goes undercover to infiltrate the crime ring, leading to an explosive finale. Written by Anonymous"
Tsui Hark,"Jet Li, Yuen Biao, Jacky Cheung",Hong Kong,https://en.wikipedia.org/wiki/Once_Upon_a_Time_in_China,1991,8/15/1991,"In turn of the 20th century China, Chinese folk Wong Fei Hung faces many problems during the Chinese revolution, he continues to run his herbal clinic Po Chi Lum while facing many revolutionaries and martial arts opponents."
Kathryn Bigelow,"Patrick Swayze, Keanu Reeves, Gary Busey",United States,https://en.wikipedia.org/wiki/Point_Break,1991,7/10/1991,An F.B.I. Agent goes undercover to catch a gang of surfers who may be bank robbers.
